data,preabe,premax,premin,preult,preult_aj,volume
2011-01-03,31.500000,31.799999,31.379999,31.400000,14.530143,3313400
2011-01-04,31.500000,31.790001,31.139999,31.530001,14.590311,3513300
2011-01-05,31.400000,32.090000,31.320000,31.980000,14.798541,4114800
2011-01-06,31.850000,32.139999,31.490000,31.700001,14.668973,4457900
2011-01-07,31.549999,31.690001,30.709999,30.950001,14.321921,3653100
2011-01-10,30.620001,31.000000,30.420000,31.000000,14.345062,3920200
2011-01-11,31.200001,31.469999,31.129999,31.370001,14.516267,3450100
2011-01-12,31.650000,31.990000,31.570000,31.920000,14.770775,3046600
2011-01-13,32.000000,32.000000,31.500000,31.600000,14.622698,3206000
2011-01-14,31.420000,31.770000,31.180000,31.770000,14.701366,3863100
2011-01-17,31.530001,31.600000,31.150000,31.400000,14.530143,2435800
2011-01-18,31.570000,31.590000,31.240000,31.549999,14.599566,3120000
2011-01-19,31.500000,31.670000,30.910000,31.100000,14.391336,3534600
2011-01-20,30.830000,30.889999,30.450001,30.889999,14.294160,8350300
2011-01-21,30.799999,31.090000,30.639999,30.750000,14.229368,4431000
2011-01-24,30.780001,31.139999,30.760000,31.030001,14.358941,3074500
2011-01-26,30.990000,31.459999,30.850000,31.000000,14.345062,5505500
2011-01-27,31.120001,31.240000,30.180000,31.000000,14.345062,8341000
2011-01-28,31.000000,31.070000,29.610001,30.360001,14.048898,8495200
2011-01-31,30.490000,30.620001,29.690001,29.760000,13.771252,7081300
2011-02-01,30.000000,30.350000,29.799999,29.820000,13.799013,9906
2011-02-02,30.000000,30.240000,29.540001,29.580000,13.687956,3422000
2011-02-03,29.799999,29.799999,29.260000,29.450001,13.627800,7882
2011-02-04,29.200001,29.350000,28.030001,28.100000,13.003103,10015100
2011-02-07,28.350000,28.400000,28.000000,28.280001,13.086397,5160800
2011-02-08,28.280001,29.490000,28.240000,28.799999,13.327023,10137
2011-02-09,28.740000,28.900000,27.930000,28.080000,12.993840,6352600
2011-02-10,28.129999,28.500000,28.049999,28.240000,13.067882,6648400
2011-02-11,28.260000,29.690001,28.150000,29.580000,13.687956,7941400
2011-02-14,29.370001,29.900000,29.240000,29.770000,13.775887,5496000
2011-02-15,29.600000,30.600000,29.280001,30.400000,14.067409,8724900
2011-02-16,30.500000,31.600000,30.370001,31.430000,14.544037,11213500
2011-02-17,31.799999,32.000000,30.900000,31.230000,14.451487,9599200
2011-02-18,31.000000,31.219999,30.700001,31.139999,14.409839,5348400
2011-02-21,31.000000,31.090000,30.549999,30.660000,14.187727,3107000
2011-02-22,30.110001,30.250000,29.120001,29.350000,13.727565,9576100
2011-02-23,29.330000,29.500000,28.770000,29.400000,13.750957,6758400
2011-02-24,29.400000,29.400000,29.400000,29.400000,13.750957,0
2011-02-25,29.590000,29.740000,28.740000,29.170000,13.643384,8047000
2011-02-28,29.250000,29.799999,29.020000,29.750000,13.914659,6744600
2011-03-01,29.809999,29.900000,28.910000,28.950001,13.540486,5953600
2011-03-02,28.950001,29.790001,28.799999,29.180000,13.648057,4729900
2011-03-03,29.400000,29.750000,29.280001,29.540001,13.816439,5748300
2011-03-04,29.340000,29.820000,29.320000,29.620001,13.853859,3802300
2011-03-09,29.620001,29.620001,29.620001,29.620001,13.853859,0
2011-03-10,28.510000,28.549999,27.799999,28.010000,13.100824,9090200
2011-03-11,28.000000,28.360001,27.750000,28.180000,13.180334,6457800
2011-03-14,28.000000,28.620001,27.920000,28.500000,13.330004,6079700
2011-03-15,27.860001,28.850000,27.610001,28.830000,13.484358,5387700
2011-03-16,28.850000,29.000000,27.900000,28.150000,13.166306,5124700
2011-03-17,28.480000,28.570000,27.900000,28.100000,13.142918,3514300
2011-03-18,28.260000,28.719999,28.250000,28.500000,13.330004,5771600
2011-03-21,28.780001,28.930000,28.200001,28.540001,13.348711,3461300
2011-03-22,28.600000,29.190001,28.410000,29.000000,13.563862,3435400
2011-03-23,29.000000,29.000000,29.000000,29.000000,13.665219,0
2011-03-24,28.870001,29.030001,28.650000,28.700001,13.523862,3563200
2011-03-25,28.850000,28.850000,28.360001,28.520000,13.439039,3538800
2011-03-28,28.540001,28.809999,28.240000,28.370001,13.368361,3431800
2011-03-29,28.600000,28.600000,28.139999,28.209999,13.292967,3974600
2011-03-30,28.360001,28.830000,28.209999,28.830000,13.585118,3974600
2011-03-31,28.830000,29.549999,28.610001,29.549999,13.924394,5482700
2011-04-01,29.549999,29.549999,29.549999,29.549999,13.924394,0
2011-04-04,29.799999,29.980000,29.520000,29.900000,14.089317,3585600
2011-04-05,29.900000,29.900000,29.900000,29.900000,14.089317,0
2011-04-06,29.879999,29.900000,29.570000,29.799999,14.042194,5955000
2011-04-07,29.750000,30.120001,29.549999,29.750000,14.018635,4540700
2011-04-08,29.600000,29.790001,29.170000,29.389999,13.848999,5353200
2011-04-11,29.330000,29.500000,28.879999,29.000000,13.665219,3653700
2011-04-12,28.799999,28.900000,28.049999,28.370001,13.368361,8495100
2011-04-13,28.620001,28.629999,28.129999,28.480000,13.420195,3655400
2011-04-14,28.350000,28.740000,28.209999,28.280001,13.325950,4164100
2011-04-15,28.350000,28.410000,27.799999,27.860001,13.128042,7575700
2011-04-18,27.639999,27.889999,27.110001,27.840000,13.118615,4513800
2011-04-19,28.000000,28.299999,27.900000,28.150000,13.264692,4106300
2011-04-20,28.400000,29.030001,28.330000,29.030001,13.679360,6585000
2011-04-25,28.920000,29.120001,28.600000,29.000000,13.665219,3316400
2011-04-26,29.209999,29.510000,29.030001,29.400000,13.853712,5911100
2011-04-27,29.350000,29.530001,28.790001,29.400000,13.853712,5932400
2011-04-28,29.059999,29.190001,28.320000,28.700001,13.523862,5952400
2011-04-29,28.650000,29.070000,28.420000,28.990000,13.660510,5038200
2011-05-02,28.799999,29.059999,28.400000,28.889999,13.613391,4246600
2011-05-03,28.600000,28.700001,27.879999,28.100000,13.241128,4454700
2011-05-04,28.250000,28.379999,27.450001,27.549999,12.981959,6922300
2011-05-05,27.459999,27.990000,27.180000,27.639999,13.024371,6433400
2011-05-06,28.100000,28.360001,27.700001,28.360001,13.363646,6872200
2011-05-09,28.260000,28.590000,28.020000,28.309999,13.340084,8743
2011-05-10,28.309999,28.309999,28.309999,28.309999,13.340084,0
2011-05-11,28.850000,29.070000,28.750000,29.049999,13.688783,6442500
2011-05-12,28.700001,29.450001,28.650000,29.299999,13.806585,6149300
2011-05-13,29.190001,29.209999,28.330000,28.420000,13.391920,4773200
2011-05-16,28.420000,28.420000,28.420000,28.420000,13.391920,0
2011-05-17,27.870001,28.120001,27.330000,28.000000,13.194012,5059100
2011-05-18,28.129999,28.150000,27.209999,27.280001,12.854735,6545500
