data_base,fechamento,valor_por_cota,tipo,periodo_referencia,data_pagamento
2022-11-30,162.71,1.10,Rendimento,Nov-22,2022-12-14
2022-10-31,165.97,1.10,Rendimento,Oct-22,2022-11-16
2022-09-30,165.97,1.10,Rendimento,Sep-22,2022-10-17
2022-08-31,172.49,1.10,Rendimento,Aug-22,2022-09-15
2022-07-29,168.38,1.10,Rendimento,Jul-22,2022-08-12
2022-06-30,164.42,3.30,Rendimento,Jun-22,2022-07-14
2022-05-31,165.10,1.10,Rendimento,May-22,2022-06-14
2022-04-29,164.02,1.10,Rendimento,Apr-22,2022-05-13
2022-03-31,163.30,1.10,Rendimento,Mar-22,2022-04-14
2022-02-25,167.00,1.10,Rendimento,Feb-22,2022-03-15
2022-01-31,170.14,1.10,Rendimento,Jan-22,2022-02-14
2021-12-30,170.56,1.75,Rendimento,Dec-21,2022-01-14
2021-11-30,160.00,1.10,Rendimento,Nov-21,2021-12-14
2021-10-29,167.00,1.10,Rendimento,Oct-21,2021-11-16
2021-09-30,165.00,1.10,Rendimento,Sep-21,2021-10-15
2021-08-31,162.81,1.10,Rendimento,Aug-21,2021-09-15
2021-07-30,168.97,1.10,Rendimento,Jul-21,2021-08-13
2021-06-30,168.60,2.20,Rendimento,Jun-21,2021-07-15
2021-05-31,169.54,1.00,Rendimento,May-21,2021-06-15
2021-04-30,174.00,0.78,Rendimento,Apr-21,2021-05-14
2021-03-31,175.99,0.78,Rendimento,Mar-21,2021-04-15
2021-02-26,179.00,0.78,Rendimento,Feb-21,2021-03-12
2021-01-29,179.65,0.78,Rendimento,Jan-21,2021-02-12
2020-12-30,181.00,2.63,Rendimento,Dec-20,2021-01-15
2020-11-30,167.70,0.78,Rendimento,Nov-20,2020-12-14
2020-10-30,164.00,0.78,Rendimento,Oct-20,2020-11-16
2020-09-30,169.99,0.60,Rendimento,Sep-20,2020-10-15
2020-08-31,182.00,0.78,Rendimento,Aug-20,2020-09-15
2020-07-31,180.00,0.78,Rendimento,Jul-20,2020-08-14
2020-06-30,189.94,0.78,Rendimento,Jun-20,2020-07-14
2020-05-29,181.95,0.78,Rendimento,May-20,2020-06-12
2020-04-30,173.00,0.78,Rendimento,Apr-20,2020-05-15
2020-03-31,158.05,0.78,Rendimento,Mar-20,2020-04-15
2020-02-28,177.04,0.78,Rendimento,Feb-20,2020-03-13
2020-01-31,191.50,0.78,Rendimento,Jan-20,2020-02-14
2019-12-30,206.15,0.78,Rendimento,Dec-19,2020-01-15
2019-11-29,181.55,0.78,Rendimento,Nov-19,2019-12-13
2019-10-31,162.19,0.78,Rendimento,Oct-19,2019-11-14
2019-09-30,154.00,0.78,Rendimento,Sep-19,2019-10-14
2019-08-30,152.77,0.75,Rendimento,Aug-19,2019-09-13
2019-07-31,159.85,0.75,Rendimento,Jul-19,2019-08-14
2019-06-28,148.54,0.75,Rendimento,Jun-19,2019-07-12
2019-05-31,154.80,0.75,Rendimento,May-19,2019-06-14
2019-04-30,157.50,0.75,Rendimento,Apr-19,2019-05-15
2019-03-29,161.40,0.75,Rendimento,Mar-19,2019-04-12
2019-02-28,152.30,0.75,Rendimento,Feb-19,2019-03-18
2019-01-31,145.49,0.75,Rendimento,Jan-19,2019-02-14
2018-12-28,140.00,0.75,Rendimento,Dec-18,2019-01-15
2018-11-30,136.81,0.75,Rendimento,Nov-18,2018-12-14
2018-10-31,131.03,0.75,Rendimento,Oct-18,2018-11-16
2018-09-28,126.00,0.75,Rendimento,Sep-18,2018-10-15
2018-08-31,126.02,0.75,Rendimento,Aug-18,2018-09-17
2018-07-31,125.85,0.75,Rendimento,Jul-18,2018-08-14
2018-06-29,125.80,0.75,Rendimento,Jun-18,2018-07-13
2018-05-30,135.00,0.87,Rendimento,May-18,2018-06-14
2018-04-30,140.92,0.87,Rendimento,Apr-18,2018-05-15
2018-03-29,503.77,0.87,Rendimento,Mar-18,2018-04-13
2018-02-28,379.99,0.87,Rendimento,Feb-18,2018-03-14
2018-01-31,314.00,0.87,Rendimento,Jan-18,2018-02-16
2017-12-28,343.00,0.87,Rendimento,Dec-17,2018-01-15
2017-11-30,323.00,0.87,Rendimento,Nov-17,2017-12-14
2017-10-31,283.00,0.87,Rendimento,Oct-17,2017-11-16
2017-09-29,304.32,0.87,Rendimento,Sep-17,2017-10-16
2017-08-31,251.00,0.87,Rendimento,Aug-17,2017-09-15
2017-07-31,242.49,0.87,Rendimento,Jul-17,2017-08-14
2017-06-30,238.67,0.87,Rendimento,Jun-17,2017-07-14
2017-05-31,251.71,0.87,Rendimento,May-17,2017-06-14
2017-04-28,251.95,0.87,Rendimento,Apr-17,2017-05-15
2017-03-31,204.93,0.87,Rendimento,Mar-17,2017-04-17
2017-02-24,280.29,0.87,Rendimento,Feb-17,2017-03-14
