valor_por_cota,data_base
0.72,2011-03-31
0.75,2011-04-27
0.79,2011-05-31
0.8,2011-06-30
0.81,2011-07-21
0.82,2011-08-31
0.82,2011-09-30
0.82,2011-10-31
0.82,2011-11-30
0.82,2011-12-27
0.8,2012-01-31
0.8,2012-02-29
0.8,2012-03-30
0.8,2012-04-27
0.8,2012-05-31
0.8,2012-06-27
0.8,2012-07-31
0.8,2012-08-31
0.8,2012-09-28
0.8,2012-10-31
0.8,2012-11-30
0.82,2012-12-28
0.83,2013-01-31
0.83,2013-02-28
0.83,2013-03-28
0.84,2013-04-30
0.85,2013-05-31
0.85,2013-06-28
0.85,2013-07-31
0.85,2013-08-30
0.85,2013-09-30
0.85,2013-10-31
0.87,2013-11-29
0.87,2013-12-30
0.87,2014-01-31
1.23,2014-02-28
1.25,2014-03-31
1.28,2014-04-30
1.28,2014-05-30
1.28,2014-06-30
0.87,2014-07-31
0.87,2014-08-29
0.87,2014-09-30
0.87,2014-10-31
0.87,2014-11-28
3.64,2014-12-30
0.87,2015-01-30
0.87,2015-02-27
1.24,2015-03-31
1.24,2015-04-30
1.24,2015-05-29
1.24,2015-06-30
0.87,2015-07-31
0.87,2015-08-31
0.87,2015-09-30
0.87,2015-10-30
0.87,2015-11-30
0.87,2015-12-30
0.87,2016-01-29
0.87,2016-02-29
0.87,2016-03-31
0.87,2016-04-29
0.87,2016-05-31
0.87,2016-06-30
0.87,2016-07-29
0.87,2016-08-31
0.87,2016-09-30
0.87,2016-10-31
0.87,2016-11-30
0.87,2016-12-29
0.87,2017-01-31
0.87,2017-02-24
0.87,2017-03-31
0.87,2017-04-28
0.87,2017-05-31
0.87,2017-06-30
0.87,2017-07-31
0.87,2017-08-31
0.87,2017-09-29
0.87,2017-10-31
0.87,2017-11-30
0.87,2017-12-28
0.87,2018-01-31
0.87,2018-02-28
0.87,2018-03-29
0.87,2018-04-30
0.87,2018-05-30
0.75,2018-06-29
0.75,2018-07-31
0.75,2018-08-31
0.75,2018-09-28
0.75,2018-10-31
0.75,2018-11-30
0.75,2018-12-28
0.75,2019-01-31
0.75,2019-02-28
0.75,2019-03-29
0.75,2019-04-30
0.75,2019-05-31
0.75,2019-06-28
0.75,2019-07-31
0.75,2019-08-30
0.78,2019-09-30
0.78,2019-10-31
0.78,2019-11-29
0.78,2019-12-30
0.78,2020-01-31
0.78,2020-02-28
0.78,2020-03-31
0.78,2020-04-30
0.78,2020-05-29
0.78,2020-06-30
0.78,2020-07-31
0.78,2020-08-31
0.6,2020-09-30
0.78,2020-10-30
0.78,2020-11-30
2.63,2020-12-30
0.78,2021-01-29
0.78,2021-02-26
0.78,2021-03-31
0.78,2021-04-30
1.0,2021-05-31
2.2,2021-06-30
1.1,2021-07-30
1.1,2021-08-31
1.1,2021-09-30
1.1,2021-10-29
1.1,2021-11-30
1.75,2021-12-30
1.1,2022-01-31
1.1,2022-02-25
1.1,2022-03-31
1.1,2022-04-29
1.1,2022-05-31
3.3,2022-06-30
1.1,2022-07-29
1.1,2022-08-31
1.1,2022-09-30
1.1,2022-10-31
1.1,2022-11-30
