data,preco
2011-03-02,104.4
2011-03-21,104.4
2011-03-28,104.4
2011-03-31,104.4
2011-04-05,104.4
2011-04-06,104.4
2011-04-07,104.4
2011-04-08,104.4
2011-04-18,104.4
2011-04-19,104.4
2011-04-20,104.4
2011-04-25,104.4
2011-04-26,104.4
2011-04-27,104.4
2011-05-02,104.0
2011-05-06,104.0
2011-05-12,104.0
2011-05-13,104.0
2011-05-16,104.0
2011-05-17,104.0
2011-05-19,104.0
2011-05-20,104.0
2011-05-23,103.99
2011-05-24,104.0
2011-05-25,104.05
2011-05-26,104.3
2011-05-30,104.3
2011-05-31,104.3
2011-06-01,104.5
2011-06-02,104.5
2011-06-03,104.0
2011-06-13,104.6
2011-06-14,104.8
2011-06-15,106.0
2011-06-17,106.0
2011-06-20,107.0
2011-06-21,106.5
2011-06-22,106.1
2011-06-27,107.5
2011-06-30,106.3
2011-07-08,108.0
2011-07-11,108.0
2011-07-12,108.0
2011-07-13,108.5
2011-07-14,108.5
2011-07-15,109.0
2011-07-18,109.0
2011-07-19,109.0
2011-07-21,109.0
2011-08-02,109.1
2011-08-03,110.0
2011-08-04,109.5
2011-08-08,109.9
2011-08-12,112.0
2011-08-16,111.0
2011-08-17,112.0
2011-08-19,115.0
2011-08-24,115.0
2011-08-26,115.0
2011-08-31,118.0
2011-09-01,118.0
2011-09-02,118.0
2011-09-05,117.0
2011-09-13,117.0
2011-09-30,112.5
2011-10-03,112.6
2011-10-19,112.0
2011-10-20,112.0
2011-10-24,109.0
2011-10-25,109.0
2011-10-26,109.0
2011-10-27,108.0
2011-10-28,108.0
2011-10-31,108.0
2011-11-01,108.0
2011-11-03,108.0
2011-11-04,109.0
2011-11-07,117.0
2011-11-09,116.0
2011-11-11,116.0
2011-11-16,115.0
2011-11-17,111.0
2011-11-18,111.0
2011-11-21,110.0
2011-11-22,110.0
2011-11-23,110.0
2011-11-24,110.0
2011-11-25,110.0
2011-11-28,111.0
2011-11-29,110.5
2011-11-30,111.0
2011-12-01,110.0
2011-12-02,112.0
2011-12-05,112.0
2011-12-07,112.0
2011-12-08,112.0
2011-12-12,112.0
2011-12-13,112.1
2011-12-15,112.5
2011-12-16,111.5
2011-12-19,112.5
2011-12-20,113.0
2011-12-21,112.0
2011-12-22,112.8
2011-12-26,112.5
2011-12-27,117.0
2012-01-05,116.0
2012-01-10,116.0
2012-01-11,116.0
2012-01-12,116.0
2012-01-13,116.0
2012-01-16,115.5
2012-01-17,116.0
2012-01-18,115.0
2012-01-19,115.5
2012-01-20,120.0
2012-01-23,118.0
2012-01-24,118.0
2012-01-26,120.0
2012-01-27,120.0
2012-01-30,118.0
2012-01-31,119.0
2012-02-01,119.0
2012-02-02,119.5
2012-02-06,121.9
2012-02-08,118.0
2012-02-09,122.0
2012-02-10,122.0
2012-02-14,120.0
2012-02-15,116.6
2012-02-22,121.5
2012-02-23,121.5
2012-02-24,122.0
2012-02-27,123.0
2012-02-29,123.0
2012-03-02,121.5
2012-03-05,122.0
2012-03-06,124.0
2012-03-07,124.0
2012-03-08,129.0
2012-03-09,129.0
2012-03-12,129.0
2012-03-13,129.0
2012-03-14,129.0
2012-03-15,127.0
2012-03-16,127.0
2012-03-19,126.0
2012-03-20,125.0
2012-03-21,125.0
2012-03-22,122.0
2012-03-26,120.0
2012-03-27,120.0
2012-03-28,120.0
2012-03-29,125.0
2012-03-30,125.0
2012-04-03,124.0
2012-04-04,123.5
2012-04-05,123.6
2012-04-09,128.0
2012-04-11,125.0
2012-04-13,125.5
2012-04-16,128.0
2012-04-17,127.5
2012-04-18,128.0
2012-04-20,125.0
2012-04-23,126.0
2012-04-24,127.0
2012-04-25,127.5
2012-04-26,128.0
2012-04-27,128.0
2012-05-02,127.0
2012-05-03,126.0
2012-05-07,125.0
2012-05-08,125.0
2012-05-09,127.5
2012-05-11,127.5
2012-05-14,126.0
2012-05-15,126.5
2012-05-16,126.5
2012-05-17,127.0
2012-05-18,127.0
2012-05-21,127.0
2012-05-22,126.0
2012-05-23,126.0
2012-05-24,126.0
2012-05-25,125.8
2012-05-28,123.5
2012-05-29,126.0
2012-05-30,126.0
2012-05-31,126.5
2012-06-01,127.0
2012-06-04,130.0
2012-06-05,128.0
2012-06-06,129.0
2012-06-08,130.0
2012-06-11,129.5
2012-06-12,130.0
2012-06-13,130.0
2012-06-14,129.5
2012-06-15,130.0
2012-06-18,130.0
2012-06-19,130.0
2012-06-20,130.0
2012-06-21,130.0
2012-06-22,130.0
2012-06-25,129.5
2012-06-26,130.0
2012-06-27,130.0
2012-07-02,130.0
2012-07-04,135.0
2012-07-05,131.5
2012-07-06,134.0
2012-07-10,133.7
2012-07-11,134.0
2012-07-12,134.0
2012-07-13,134.0
2012-07-16,135.0
2012-07-17,135.0
2012-07-18,135.0
2012-07-23,134.0
2012-07-24,133.0
2012-07-25,134.5
2012-07-26,134.5
2012-07-27,134.5
2012-07-30,132.5
2012-07-31,132.5
2012-08-01,132.0
2012-08-02,132.0
2012-08-03,131.6
2012-08-06,131.5
2012-08-07,130.0
2012-08-08,131.49
2012-08-09,131.0
2012-08-10,131.49
2012-08-13,131.4
2012-08-14,131.0
2012-08-15,131.5
2012-08-16,130.1
2012-08-17,130.0
2012-08-20,130.9
2012-08-22,130.9
2012-08-24,129.8
2012-08-27,129.7
2012-08-28,129.7
2012-08-29,130.0
2012-08-30,130.0
2012-08-31,129.9
2012-09-03,130.0
2012-09-04,129.0
2012-09-05,128.9
2012-09-06,128.0
2012-09-10,129.8
2012-09-11,130.0
2012-09-13,129.9
2012-09-14,130.0
2012-09-17,129.0
2012-09-18,129.8
2012-09-19,129.5
2012-09-21,129.5
2012-09-24,129.1
2012-09-25,130.0
2012-09-26,128.0
2012-09-27,128.0
2012-09-28,129.0
2012-10-01,125.1
2012-10-02,125.0
2012-10-03,126.0
2012-10-04,127.0
2012-10-05,124.0
2012-10-08,127.0
2012-10-10,128.5
2012-10-11,130.0
2012-10-17,130.0
2012-10-18,130.0
2012-10-19,130.0
2012-10-23,129.9
2012-10-24,129.5
