data,valor
2023-01-13,2844.5701
2023-01-12,2833.3301
2023-01-11,2839.0701
2023-01-10,2845.3899
2023-01-09,2845.3501
2023-01-06,2850.9800
2023-01-05,2855.8601
2023-01-04,2846.8999
2023-01-03,2855.2100
2023-01-02,2861.1001
2022-12-29,2867.1299
2022-12-28,2850.5200
2022-12-27,2834.4600
2022-12-26,2826.9900
2022-12-23,2820.0300
2022-12-22,2801.1399
2022-12-21,2799.7200
2022-12-20,2779.5400
2022-12-19,2762.3701
2022-12-16,2780.4800
2022-12-15,2786.0801
2022-12-14,2801.8701
2022-12-13,2827.1699
2022-12-12,2846.7700
2022-12-09,2866.2800
2022-12-08,2862.9800
2022-12-07,2876.2100
2022-12-06,2881.5801
2022-12-05,2889.0701
2022-12-02,2893.6899
2022-12-01,2877.8799
2022-11-30,2867.2100
2022-11-29,2851.2900
2022-11-28,2850.5200
2022-11-25,2852.6899
2022-11-24,2858.5500
2022-11-23,2858.8501
2022-11-22,2866.5000
2022-11-21,2867.8501
2022-11-18,2878.2800
2022-11-17,2864.0100
2022-11-16,2914.3999
2022-11-14,2931.1899
2022-11-11,2934.7100
2022-11-10,2941.5400
2022-11-09,2969.1399
2022-11-08,2983.3701
2022-11-07,2987.1899
2022-11-04,2993.0601
2022-11-03,2988.7500
2022-11-01,2989.1499
2022-10-31,2991.4500
2022-10-28,2993.6899
2022-10-27,2992.3501
2022-10-26,2991.0000
2022-10-25,2993.3701
2022-10-24,2993.1599
2022-10-21,2999.0500
2022-10-20,2992.3501
2022-10-19,2986.4299
2022-10-18,2987.1001
2022-10-17,2982.3401
2022-10-14,2991.6599
2022-10-13,2992.5801
2022-10-11,2999.9600
2022-10-10,2998.4600
2022-10-07,3002.8301
2022-10-06,2995.6001
2022-10-05,2986.5000
2022-10-04,2985.0801
2022-10-03,2982.8999
2022-09-30,2990.8000
2022-09-29,2972.4900
2022-09-28,2975.1499
2022-09-27,2979.4900
2022-09-26,2984.3101
2022-09-23,2990.3000
2022-09-22,2994.6499
2022-09-21,2989.1201
2022-09-20,2987.8899
2022-09-19,2983.7800
2022-09-16,2984.4399
2022-09-15,2971.4900
2022-09-14,2968.9199
