data,imab5
16-09-2003,775879343
17-09-2003,776077621
18-09-2003,777874861
19-09-2003,779398320
22-09-2003,780464262
23-09-2003,781872005
24-09-2003,783128416
25-09-2003,783299837
26-09-2003,784051004
29-09-2003,784911289
30-09-2003,785319712
01-10-2003,786006349
02-10-2003,786337476
03-10-2003,787084316
06-10-2003,788226512
07-10-2003,790309084
08-10-2003,790801634
09-10-2003,792272892
10-10-2003,792921720
13-10-2003,793723391
14-10-2003,794314925
15-10-2003,794935388
16-10-2003,795574144
17-10-2003,796095200
20-10-2003,796931419
21-10-2003,797450371
22-10-2003,797709977
23-10-2003,798092446
24-10-2003,798605689
27-10-2003,799116512
28-10-2003,799552812
29-10-2003,800093529
30-10-2003,800619670
31-10-2003,801082547
03-11-2003,801530805
04-11-2003,801959220
05-11-2003,802453020
06-11-2003,801799454
07-11-2003,802236035
10-11-2003,802643169
11-11-2003,803070388
12-11-2003,803471626
13-11-2003,803871218
14-11-2003,804374372
17-11-2003,804703045
18-11-2003,805276102
19-11-2003,805827617
20-11-2003,808936614
21-11-2003,809542387
24-11-2003,811006299
25-11-2003,813209507
26-11-2003,814307054
27-11-2003,816702029
28-11-2003,817405104
01-12-2003,818973084
02-12-2003,819256008
03-12-2003,819937949
04-12-2003,821102722
05-12-2003,823112116
08-12-2003,824141933
09-12-2003,826405776
10-12-2003,827651844
11-12-2003,829633550
12-12-2003,830420831
15-12-2003,831119364
16-12-2003,831629006
17-12-2003,832124841
18-12-2003,832572815
19-12-2003,833107319
22-12-2003,833552151
23-12-2003,834012534
24-12-2003,834468841
26-12-2003,834966543
29-12-2003,835430282
30-12-2003,835891437
31-12-2003,836364044
02-01-2004,836833868
05-01-2004,837315597
06-01-2004,838442545
07-01-2004,839777339
08-01-2004,842759355
09-01-2004,844858496
12-01-2004,846506054
13-01-2004,849983001
14-01-2004,851962990
15-01-2004,853329388
16-01-2004,853846560
19-01-2004,854417775
20-01-2004,856164253
21-01-2004,857035186
22-01-2004,855404944
23-01-2004,855562931
26-01-2004,857206654
27-01-2004,858448138
28-01-2004,858885373
29-01-2004,859479258
30-01-2004,860045165
02-02-2004,860406452
03-02-2004,861041861
04-02-2004,861507433
05-02-2004,861860728
06-02-2004,862600025
09-02-2004,863151131
10-02-2004,863856711
11-02-2004,864535892
12-02-2004,865186407
13-02-2004,865750778
16-02-2004,865998077
17-02-2004,866749746
18-02-2004,867392902
19-02-2004,867912465
20-02-2004,868514022
25-02-2004,869270802
26-02-2004,869868972
27-02-2004,870415532
01-03-2004,871139358
02-03-2004,871893759
03-03-2004,872450740
04-03-2004,873188233
05-03-2004,873867992
08-03-2004,874590899
09-03-2004,875046479
10-03-2004,875867834
11-03-2004,875593334
12-03-2004,876035875
15-03-2004,876510109
16-03-2004,876773526
17-03-2004,877194618
18-03-2004,877630678
19-03-2004,878068047
22-03-2004,878520672
23-03-2004,879016293
24-03-2004,879475418
25-03-2004,879925287
26-03-2004,880370379
29-03-2004,880798972
30-03-2004,881252429
31-03-2004,881705368
01-04-2004,882157633
02-04-2004,882451747
05-04-2004,883033190
06-04-2004,883515266
07-04-2004,884244217
08-04-2004,884714724
12-04-2004,885196967
13-04-2004,885654444
14-04-2004,886123785
15-04-2004,886594762
16-04-2004,887083488
19-04-2004,887449561
20-04-2004,887947449
22-04-2004,888557425
23-04-2004,889116734
26-04-2004,889636182
27-04-2004,889265355
28-04-2004,889292357
29-04-2004,889677882
30-04-2004,889937050
03-05-2004,890099266
04-05-2004,889756377
05-05-2004,890361815
06-05-2004,890553037
07-05-2004,890964473
10-05-2004,891379283
11-05-2004,891772391
12-05-2004,892013501
13-05-2004,891949071
14-05-2004,891214418
17-05-2004,891401645
18-05-2004,891823166
19-05-2004,892441499
20-05-2004,892828056
21-05-2004,893024128
24-05-2004,893441636
25-05-2004,893829402
26-05-2004,893769485
27-05-2004,894398629
28-05-2004,895340943
31-05-2004,896093029
01-06-2004,896555989
02-06-2004,897212784
03-06-2004,898168975
04-06-2004,898717252
07-06-2004,899505268
08-06-2004,900327776
09-06-2004,901123833
11-06-2004,901183840
14-06-2004,901703887
15-06-2004,902371514
16-06-2004,902967894
17-06-2004,904200699
18-06-2004,904923854
21-06-2004,905554900
22-06-2004,906319836
23-06-2004,906854542
24-06-2004,907944091
25-06-2004,908458769
28-06-2004,909797276
29-06-2004,910592960
30-06-2004,911856731
01-07-2004,912584591
02-07-2004,913627996
05-07-2004,914390228
06-07-2004,915363940
07-07-2004,916303451
08-07-2004,917109785
09-07-2004,917787797
12-07-2004,918342046
13-07-2004,918790798
14-07-2004,919247152
15-07-2004,919780451
16-07-2004,920687037
19-07-2004,921459708
20-07-2004,921807911
21-07-2004,922174342
22-07-2004,922777011
23-07-2004,923460485
26-07-2004,924504926
27-07-2004,924949788
28-07-2004,925457622
29-07-2004,925897579
30-07-2004,926458653
02-08-2004,927241378
03-08-2004,927700558
04-08-2004,928000016
05-08-2004,928502959
06-08-2004,928810096
09-08-2004,929183662
10-08-2004,929841780
11-08-2004,929574052
12-08-2004,930113348
13-08-2004,930491464
16-08-2004,931064521
17-08-2004,931469671
18-08-2004,931855718
19-08-2004,932214312
20-08-2004,932738235
23-08-2004,933436729
24-08-2004,934055637
25-08-2004,934497515
26-08-2004,935121277
27-08-2004,935686462
30-08-2004,936249735
31-08-2004,936838063
01-09-2004,937397317
02-09-2004,937926218
03-09-2004,938490915
06-09-2004,939023267
08-09-2004,939588276
09-09-2004,940174595
10-09-2004,941488379
13-09-2004,942119709
14-09-2004,942758492
15-09-2004,943375294
16-09-2004,943874329
17-09-2004,944380704
20-09-2004,945005392
21-09-2004,945600171
22-09-2004,946206092
23-09-2004,946575553
24-09-2004,947124577
27-09-2004,947667201
28-09-2004,948218852
29-09-2004,948764029
30-09-2004,949270581
01-10-2004,949863960
04-10-2004,950416101
05-10-2004,950943683
06-10-2004,951539834
07-10-2004,952078149
08-10-2004,952610884
11-10-2004,951613022
13-10-2004,951696732
14-10-2004,952203535
15-10-2004,952882281
18-10-2004,953319125
19-10-2004,953941136
20-10-2004,954621265
21-10-2004,955167489
22-10-2004,955716920
25-10-2004,956164229
26-10-2004,956689067
27-10-2004,957201642
28-10-2004,957734905
29-10-2004,958277826
01-11-2004,958806673
03-11-2004,959354568
04-11-2004,959870635
05-11-2004,960390288
08-11-2004,960887052
09-11-2004,961412184
10-11-2004,961934452
11-11-2004,962526288
12-11-2004,962857095
16-11-2004,963410757
17-11-2004,964099704
18-11-2004,964663463
19-11-2004,965343518
22-11-2004,965243528
23-11-2004,965736157
24-11-2004,966455920
25-11-2004,967216305
26-11-2004,967836590
29-11-2004,968486335
30-11-2004,969149266
01-12-2004,969075415
02-12-2004,970059164
03-12-2004,970755145
06-12-2004,971342086
07-12-2004,972152922
08-12-2004,972631298
09-12-2004,973417261
10-12-2004,974107331
13-12-2004,974762370
14-12-2004,975431240
15-12-2004,976099254
16-12-2004,976603728
17-12-2004,977110830
20-12-2004,977756416
21-12-2004,978286366
22-12-2004,979074318
23-12-2004,979753710
24-12-2004,980398419
27-12-2004,980914354
28-12-2004,981629505
29-12-2004,982063955
30-12-2004,982690188
31-12-2004,983337347
03-01-2005,984068269
04-01-2005,984423261
05-01-2005,985023380
06-01-2005,985216580
07-01-2005,985258129
10-01-2005,985675702
