datneg,preult
2010-12-01,100.5
2010-12-02,100.0
2010-12-03,100.0
2010-12-06,99.0
2010-12-07,98.0
2010-12-08,100.0
2010-12-09,99.0
2010-12-10,99.9
2010-12-13,99.0
2010-12-14,100.0
2010-12-15,99.9
2010-12-16,99.9
2010-12-17,99.8
2010-12-20,100.0
2010-12-21,99.9
2010-12-22,95.8
2010-12-23,98.9
2010-12-27,100.77
2010-12-28,100.0
2010-12-29,100.77
2011-01-04,100.0
2011-01-05,99.7
2011-01-06,99.7
2011-01-07,99.5
2011-01-10,95.5
2011-01-11,99.0
2011-01-12,98.0
2011-01-13,97.0
2011-01-14,99.8
2011-01-17,96.8
2011-01-19,99.0
2011-01-20,99.0
2011-01-21,98.1
2011-01-24,97.8
2011-01-26,97.5
2011-01-27,97.0
2011-01-28,96.6
2011-01-31,96.99
2011-02-01,96.99
2011-02-02,99.0
2011-02-03,98.5
2011-02-04,99.8
2011-02-07,97.0
2011-02-08,96.5
2011-02-09,97.0
2011-02-10,97.0
2011-02-11,96.7
2011-02-14,97.0
2011-02-15,98.5
2011-02-16,100.0
2011-02-17,100.0
2011-02-18,99.5
2011-02-21,99.9
2011-02-22,100.3
2011-02-23,101.0
2011-02-24,100.5
2011-02-25,100.8
2011-02-28,102.5
2011-03-01,105.0
2011-03-02,105.0
2011-03-03,105.7
2011-03-04,109.0
2011-03-09,108.5
2011-03-10,108.1
2011-03-11,107.5
2011-03-14,109.0
2011-03-15,109.48
2011-03-16,109.5
2011-03-17,108.55
2011-03-18,107.6
2011-03-21,110.0
2011-03-22,111.99
2011-03-23,111.9
2011-03-24,111.9
2011-03-25,112.3
2011-03-28,112.5
2011-03-29,109.5
2011-03-30,114.9
2011-03-31,110.0
2011-04-01,110.0
2011-04-04,110.0
2011-04-05,107.2
2011-04-06,109.9
2011-04-07,110.9
2011-04-08,110.0
2011-04-12,114.0
2011-04-13,113.0
2011-04-14,113.1
2011-04-15,115.0
2011-04-18,116.8
2011-04-19,119.5
2011-04-20,119.85
2011-04-25,120.0
2011-04-26,118.0
2011-04-27,118.5
2011-04-28,119.9
2011-04-29,119.5
2011-05-02,120.0
2011-05-03,119.9
2011-05-04,119.5
2011-05-05,119.9
2011-05-06,119.7
2011-05-09,119.7
2011-05-10,119.7
2011-05-11,119.5
2011-05-12,119.05
2011-05-13,116.0
2011-05-16,124.9
2011-05-17,124.9
2011-05-18,124.8
2011-05-19,119.0
2011-05-20,124.0
2011-05-23,120.0
2011-05-24,120.5
2011-05-25,121.8
2011-05-26,122.0
2011-05-27,120.12
2011-05-30,120.0
2011-05-31,120.0
2011-06-01,119.5
2011-06-02,121.99
2011-06-03,119.6
2011-06-06,119.61
2011-06-07,119.5
2011-06-08,119.6
2011-06-09,119.5
2011-06-10,119.5
2011-06-13,119.61
2011-06-14,119.01
2011-06-15,119.0
2011-06-16,117.0
2011-06-17,114.9
2011-06-20,118.89
2011-06-21,115.0
2011-06-22,117.4
2011-06-24,116.9
2011-06-27,115.3
2011-06-28,115.1
2011-06-29,115.1
2011-06-30,114.3
2011-07-01,114.5
2011-07-04,115.21
2011-07-05,115.1
2011-07-06,116.0
2011-07-07,114.8
2011-07-08,116.4
2011-07-11,114.6
2011-07-12,114.0
2011-07-13,114.5
2011-07-14,119.5
2011-07-15,121.0
2011-07-18,124.2
2011-07-19,123.0
2011-07-20,123.0
2011-07-21,123.0
2011-07-22,123.5
2011-07-25,125.9
2011-07-26,126.0
2011-07-27,130.0
2011-07-28,130.0
2011-07-29,122.9
2011-08-01,126.0
2011-08-02,127.0
2011-08-03,125.0
2011-08-04,124.5
2011-08-05,129.3
2011-08-08,124.5
2011-08-09,125.0
2011-08-10,127.0
2011-08-11,127.3
2011-08-12,125.6
2011-08-15,128.38
2011-08-16,126.15
2011-08-17,127.0
2011-08-18,126.9
2011-08-19,126.0
2011-08-22,127.5
2011-08-23,128.0
2011-08-24,128.0
