Date,Dividends
2005-04-01,0.133288
2005-07-01,0.250663
2006-01-02,0.259000
2006-04-04,0.132700
2006-11-01,0.500750
2007-01-02,0.225000
2007-04-03,0.175000
2007-08-20,0.251700
2007-10-08,0.256500
2008-01-14,0.155300
2008-04-07,0.102600
2008-12-29,0.042600
2009-04-09,0.351600
2009-07-06,0.300000
2009-10-01,0.200000
2009-12-21,0.200000
2010-04-23,0.133200
2010-05-24,0.170000
2010-08-02,0.170000
2010-11-03,0.140000
2010-12-22,0.200000
2011-03-22,0.173420
2011-04-29,0.126500
2011-05-12,0.213600
2011-08-03,0.207300
2011-11-14,0.200000
2012-01-03,0.177300
2012-03-20,0.124400
2012-05-14,0.200000
2013-04-30,0.386170
2014-04-03,0.967200
2018-05-22,0.050000
2018-08-14,0.050000
2018-11-22,0.100000
2018-12-26,0.716563
2019-04-26,0.019494
2019-05-22,0.100000
2019-08-13,0.200000
2019-11-12,0.200925
2019-12-27,0.421942
2020-04-23,0.000449
2020-04-28,0.000449
2020-07-23,0.000461
2021-04-15,0.792834
2021-08-17,1.609911
2021-12-02,3.250487
2022-04-14,2.970249
2022-05-24,3.715490
2022-08-12,6.732003
2022-11-22,3.348900
