type,baseData,payDate,value
Rendimento,30/11/22,14/12/22,0.91
Rendimento,31/10/22,16/11/22,0.91
Rendimento,30/09/22,17/10/22,0.91
Rendimento,31/08/22,15/09/22,0.91
Rendimento,29/07/22,12/08/22,0.91
Rendimento,30/06/22,14/07/22,0.84
Rendimento,31/05/22,14/06/22,0.84
Rendimento,29/04/22,13/05/22,0.84
Rendimento,31/03/22,14/04/22,0.81
Rendimento,25/02/22,15/03/22,0.81
Rendimento,31/01/22,14/02/22,0.81
Rendimento,30/12/21,14/01/22,0.88
Rendimento,30/11/21,14/12/21,0.77
Rendimento,29/10/21,16/11/21,0.77
Rendimento,30/09/21,15/10/21,0.77
Rendimento,31/08/21,15/09/21,0.73
Rendimento,30/07/21,13/08/21,0.69
Rendimento,30/06/21,14/07/21,0.69
Rendimento,31/05/21,15/06/21,0.69
Rendimento,30/04/21,14/05/21,0.69
Rendimento,31/03/21,15/04/21,0.69
Rendimento,26/02/21,12/03/21,0.69
Rendimento,29/01/21,12/02/21,0.69
Rendimento,30/12/20,15/01/21,0.65
Rendimento,30/11/20,14/12/20,0.65
Rendimento,30/10/20,16/11/20,0.65
Rendimento,30/09/20,15/10/20,0.65
Rendimento,31/08/20,15/09/20,0.65
Rendimento,31/07/20,14/08/20,0.65
Rendimento,30/06/20,14/07/20,0.65
Rendimento,29/05/20,15/06/20,0.65
Rendimento,30/04/20,15/05/20,0.65
Rendimento,31/03/20,15/04/20,0.65
Rendimento,28/02/20,13/03/20,0.74
Rendimento,31/01/20,14/02/20,0.74
Rendimento,30/12/19,15/01/20,0.74
Rendimento,29/11/19,13/12/19,0.74
Rendimento,31/10/19,14/11/19,0.74
Rendimento,30/09/19,14/10/19,0.74
Rendimento,30/08/19,13/09/19,0.74
Rendimento,31/07/19,14/08/19,0.74
Rendimento,28/06/19,12/07/19,0.74
Rendimento,31/05/19,14/06/19,0.74
Rendimento,30/04/19,15/05/19,0.74
Rendimento,29/03/19,12/04/19,0.74
Rendimento,28/02/19,18/03/19,0.74
Rendimento,31/01/19,14/02/19,0.74
Rendimento,28/12/18,15/01/19,0.74
Rendimento,30/11/18,14/12/18,0.74
Rendimento,31/10/18,16/11/18,0.82
Rendimento,28/09/18,15/10/18,0.82
Rendimento,31/08/18,17/09/18,0.82
Rendimento,31/07/18,14/08/18,0.82
Rendimento,29/06/18,13/07/18,0.92
Rendimento,30/05/18,14/06/18,0.82
Rendimento,30/04/18,15/05/18,0.82
Rendimento,29/03/18,13/04/18,0.82
Rendimento,28/02/18,14/03/18,0.82
Rendimento,31/01/18,16/02/18,0.62
Rendimento,28/12/17,15/01/18,0.92
Rendimento,30/11/17,14/12/17,0.92
Rendimento,31/10/17,16/11/17,0.92
Rendimento,29/09/17,16/10/17,0.92
Rendimento,31/08/17,15/09/17,0.92
Rendimento,31/07/17,14/08/17,0.92
Rendimento,30/06/17,14/07/17,0.92
Rendimento,31/05/17,14/06/17,0.92
Rendimento,28/04/17,15/05/17,0.92
Rendimento,31/03/17,17/04/17,0.92
Rendimento,24/02/17,14/03/17,0.92
Rendimento,31/01/17,14/02/17,0.92
Rendimento,29/12/16,13/01/17,0.92
Rendimento,30/11/16,14/12/16,0.92
Rendimento,31/10/16,16/11/16,0.92
Rendimento,30/09/16,17/10/16,0.92
Rendimento,31/08/16,15/09/16,0.92
Rendimento,29/07/16,12/08/16,0.92
Rendimento,30/06/16,14/07/16,0.92
Rendimento,31/05/16,14/06/16,0.92
Rendimento,29/04/16,13/05/16,0.92
Rendimento,31/03/16,14/04/16,0.92
